time_slot_minutes,bus_stop_count,day_encoded
840,19,0
890,75,0
895,191,0
900,113,0
920,118,0
925,304,0
930,180,0
980,49,0
985,129,0
990,76,0
840,108,1
890,176,1
895,455,1
900,268,1
920,308,1
925,802,1
930,472,1
980,291,1
985,746,1
990,438,1
1070,42,1
1075,108,1
1080,64,1
840,90,2
890,106,2
895,271,2
900,195,2
905,85,2
910,51,2
920,279,2
925,717,2
930,424,2
980,208,2
985,535,2
990,316,2
1070,14,2
1075,36,2
1080,21,2
840,118,3
845,47,3
850,28,3
890,160,3
895,413,3
900,269,3
905,61,3
910,36,3
920,460,3
925,1184,3
930,698,3
980,367,3
985,937,3
990,555,3
1020,40,3
1025,102,3
1030,60,3
840,86,4
890,191,4
895,492,4
900,303,4
905,35,4
910,21,4
920,345,4
925,882,4
930,520,4
980,190,4
985,488,4
990,288,4
1070,25,4
1075,63,4
1080,37,4
